"word","id","property","object","question","sparql"
"apple","93","  ","[Apple_Inc]","SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni }","What is the net income of Apple?"
"arabia","369","  ","[T._E._Lawrence]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { T._E._Lawrence battle ?uri }","In which military conflicts did Lawrence of Arabia participate?"
"area","4","  ","[Area_51]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { Area_51 location ?uri . ?uri country United_States. }","In which U.S. state is Area 51 located?"
"astronaut","20","  ","[Astronaut, Apollo_14]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri mission Apollo_14 }","Give me the Apollo 14 astronauts."
"  ","61","  ","[Astronaut, Apollo_14]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/mission> <http://dbpedia.org/resource/Apollo_14> }","Give me all Apollo 14 astronauts."
"  ","73","  ","[Astronaut, Apollo_14]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> ; <http://dbpedia.org/property/type> <http://dbpedia.org/resource/European_Space_Agency> }","Give me all ESA astronauts."
"atacama","370","  ","[San_Pedro_de_Atacama]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { San_Pedro_de_Atacama timeZone ?uri }","What is the timezone in San Pedro de Atacama?"
"atlanta","31","  ","[Atlanta_Falcons]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> ; <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1","Who is the tallest player of the Atlanta Falcons?"
"australia","181","  ","[Australia]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Brewery> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Show me all the breweries in Australia."
"  ","256","  ","[Australia]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { Australia capital ?x . ?x populationTotal ?num }","How many people live in the capital of Australia?"
"  ","301","  ","[Australia]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Australia largestCity ?uri }","What is the largest city in Australia?"
"  ","400","  ","[Australia]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type Mountain ; locatedInArea Australia ; elevation ?elevation } ORDER BY DESC(?elevation) LIMIT 1","What is the highest mountain in Australia?"
"autobiography","391","  ","[Autobiography]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri author Ernest_Hemingway ; literaryGenre Autobiography }","Show me Hemingway's autobiography."
"aviv","381","  ","[Tel_Aviv]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Tel_Aviv leaderName ?uri }","Who is the mayor of Tel Aviv?"
"baikal","346","  ","[Lake_Baikal]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> ASK WHERE { Lake_Baikal areaTotal ?a1 . Great_Bear_Lake areaTotal ?a2 FILTER ( ?a1 > ?a2 ) }","Is Lake Baikal bigger than the Great Bear Lake?"
"baikonur","23","  ","[Baikonur_Cosmodrome ]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/launchPad> Baikonur_Cosmodrome }","Which spaceflights were launched from Baikonur?"
"  ","167","  ","[Baikonur_Cosmodrome ]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Rocket> ; <http://dbpedia.org/ontology/launchSite> <http://dbpedia.org/resource/Baikonur_Cosmodrome> }","Which rockets were launched from Baikonur?"
"band","101","  ","[Band]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands."
"bandleaders","24","  ","[Bandleader]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri occupation Bandleader ; instrument Trumpet }","Give me a list of all trumpet players that were bandleaders."
"  ","164","  ","[Bandleader]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> }","Give me a list of all bandleaders that play trumpet."
"basketball,","34","  ","[BasketballPlayer]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> ; <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ) }","Show me all basketball players that are higher than 2 meters."
"  ","53","  ","[BasketballPlayer]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> ; <http://dbpedia.org/ontology/birthDate> ?date ; <http://dbpedia.org/property/highlights> ?h FILTER regex(?h, ""MVP"") } ORDER BY DESC(?date) OFFSET 0 LIMIT 4","Who are the four youngest MVP basketball players?"
"  ","306","  ","[BasketballPlayer]","PREFIX  <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type BasketballPlayer ; height ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the tallest basketball player?"
"batman","131","  ","[Batman_Begins, Batman]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> ASK WHERE { Batman_Begins starring Christian_Bale }","Is Christian Bale starring in Batman Begins?"
"  ","210","  ","[Batman_Begins, Batman]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Batman creator ?uri }","Who created Batman?"
"battle","358","  ","[Battle Chess@en]","PREFIX  <http://dbpedia.org/ontology/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { ?uri rdf:type VideoGame ; rdfs:label ""Battle Chess""@en }","Is there a video game called Battle Chess?"
"battlestar","160","  ","[Battlestar_Galactica_%281978_TV_series%29]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> ASK WHERE { <http://dbpedia.org/resource/Battlestar_Galactica_%281978_TV_series%29> numberOfEpisodes ?x . <http://dbpedia.org/resource/Battlestar_Galactica_%282004_TV_series%29> numberOfEpisodes ?y FILTER ( ?y > ?x ) }","Does the new Battlestar Galactica series have more episodes than the old one?"
"bay","198","  ","[Bay_of_Pigs_Invasion]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> ASK WHERE { Cuban_Missile_Crisis date ?x . Bay_of_Pigs_Invasion date ?y FILTER ( ?x < ?y ) }","Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?"
"bbc","352","  ","[BBC_Wildlife_Specials]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { BBC_Wildlife_Specials presenter ?uri }","Who is the host of the BBC Wildlife Specials?"
"beans","257","  ","[Cocoa_bean]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri currency Cocoa_bean }","In which ancient empire could you pay with cocoa beans?"
"bear","346","  ","[Great_Bear_Lake]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> ASK WHERE { Lake_Baikal areaTotal ?a1 . Great_Bear_Lake areaTotal ?a2 FILTER ( ?a1 > ?a2 ) }","Is Lake Baikal bigger than the Great Bear Lake?"
"becker","388","  ","[Boris_Becker]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?d WHERE { Boris_Becker activeYearsEndDate ?d }","When did Boris Becker end his active career?"
"beer","80","  ","[Beer_in_Ireland]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; <http://dbpedia.org/ontology/origin> <http://dbpedia.org/resource/Beer_in_Ireland> }","Which beer originated in Ireland?"
"beijing","263","  ","[Beijing ]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type Company ; industry Electronics ; foundationPlace Beijing }","Which electronics companies were founded in Beijing?"
"belgium","142","  ","[Belgium]","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Telecommunication> } UNION { ?uri <http://dbpedia.org/property/industry> ?industry FILTER regex(?industry, ""Telecommunications"") } { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Belgium> } UNION { ?uri <http://dbpedia.org/property/locationCountry> ""Belgium""@en } }","Which telecommunications organizations are located in Belgium?"
"berlin","86","  ","[Berlin, Berlin_Tegel_Airport]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> }","Give me all actors who were born in Berlin."
"  ","179","  ","[Berlin, Berlin_Tegel_Airport]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> ; <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> }","Give me all people that were born in Vienna and died in Berlin."
"  ","373","  ","[Berlin, Berlin_Tegel_Airport]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Lufthansa subsidiary ?uri . ?uri targetAirport Dortmund_Airport ; targetAirport Berlin_Tegel_Airport }","Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?"
"beverage","193","  ","[Beverage]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { Cola rdf:type Beverage }","Is Cola a beverage?"
"boardgames","1","  ","[GMT_Games]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?uri publisher GMT_Games }","List all boardgames by GMT."
"book","21","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { The_Pillars_of_the_Earth author ?uri }","Who wrote the book The pillars of the Earth?"
"  ","109","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Book> ; <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Danielle_Steel> }","Give me all books written by Danielle Steel."
"  ","121","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Poet> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1","Which poet wrote the most books?"
"  ","123","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Musician> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1","Which musician wrote the most books?"
"  ","195","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { The_Pillars_of_the_Earth author ?uri }","Who wrote the book Les Piliers de la terre?"
"  ","335","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { The_Pillars_of_the_Earth author ?uri }","Who wrote the book The Pillars of the Earth?"
"  ","347","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri series Foundation_series }","Show me all books in Asimov's Foundation series."
"  ","371","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type Book ; author William_Goldman ; numberOfPages ?x FILTER ( ?x > 300 ) }","Give me all books by William Goldman with more than 300 pages."
"  ","378","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type Book ; publisher Viking_Press ; author Jack_Kerouac }","Which books by Kerouac were published by Viking Press?"
"  ","383","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type Book ; author Muhammad_Ali }","Show me the book that Muhammad Ali wrote."
"  ","396","  ","[The_Pillars_of_the_Earth, Book, The_Pillars_of_the_Earth, Penguin_Books, Penguin_Books]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { Penguin_Books founder ?uri }","Who is the founder of Penguin Books?"
"borough","393","  ","[Borough_(New_York_City]","PREFIX  <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri governmentType <http://dbpedia.org/resource/Borough_(New_York_City)> }","What are the five boroughs of New York?"
"bourgogne","276","  ","[Melon_de_Bourgogne]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Melon_de_Bourgogne wineRegion ?uri }","From which region is the Melon de Bourgogne?"
"brazil","105","  ","[Brazil_national_football_team]","SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMin> ?n }","What was Brazil's lowest rank in the FIFA World Ranking?"
"brewery","181","  ","[Brewery, Heineken]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Brewery> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Show me all the breweries in Australia."
"  ","273","  ","[Brewery, Heineken]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Heineken manufacturer ?x . ?x locationCity ?uri }","In what city is the Heineken brewery?"
"bridge","48","  ","[Brooklyn_Bridge, Bridge]","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Bridge> ; <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> }","Which bridges cross the Seine?"
"  ","224","  ","[Brooklyn_Bridge, Bridge]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Brooklyn_Bridge crosses ?uri }","Which river does the Brooklyn Bridge cross?"
"  ","350","  ","[Brooklyn_Bridge, Bridge]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Brooklyn_Bridge architect ?uri }","Who designed the Brooklyn Bridge?"
"brooklyn","224","  ","[Brooklyn_Bridge]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Brooklyn_Bridge crosses ?uri }","Which river does the Brooklyn Bridge cross?"
"  ","350","  ","[Brooklyn_Bridge]","PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Brooklyn_Bridge architect ?uri }","Who designed the Brooklyn Bridge?"
"brown","236","  ","[dbr:Dan_Brown ]","PREFIX  <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?book WHERE { { ?book author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book author dbr:Dan_Brown . ?book publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1","What is the last work of Dan Brown?"
"building","145","  ","[Building]","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> ; <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent."
